cdr type,cdr datetime,call duration,last calling cellid,user_id
MoCallRecord,20180713112540,,10313.0,5275690766838032451
OutGatewayRecord,20180713112540,,10313.0,5275690766838032451
MoCallRecord,20180713112554,,20212.0,3072443718940540760
MtCallRecord,20180713112554,,,3072443718940540760
MtSMSRecord,20180713112603,,,3384066821637594455
MtCallRecord,20180713112600,,,603120969673325299
MoCallRecord,20180713112548,,12162.0,6363736644848241746
MtCallRecord,20180713112548,,,6363736644848241746
MoCallRecord,20180713112600,,20773.0,603120969673325299
MtCallRecord,20180713112553,,,3508522405447162972
MoCallRecord,20180713112502,,20681.0,5955440636540161348
MtCallRecord,20180713112502,,,5955440636540161348
MoCallRecord,20180713112553,,14323.0,3508522405447162972
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112546,,12013.0,4765629957443944631
MtCallRecord,20180713112546,,,4765629957443944631
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112446,,22371.0,9030547775022616711
MtCallRecord,20180713112446,,,9030547775022616711
MoCallRecord,20180713112517,,20263.0,5105384644040459782
MtCallRecord,20180713112517,,,5105384644040459782
MtSMSRecord,20180713112603,,,7566424924061690786
MoCallRecord,20180713112530,,12178.0,4835230492041462305
MtCallRecord,20180713112530,,,4835230492041462305
MoCallRecord,20180713112532,,12032.0,1656521622597507459
MtCallRecord,20180713112532,,,1656521622597507459
MtCallRecord,20180713112534,,,8870811403404884011
MoCallRecord,20180713112534,,14063.0,8870811403404884011
IncGatewayRecord,20180713112346,,22093.0,544534031049315399
MtCallRecord,20180713112346,,,544534031049315399
MoCallRecord,20180713112540,,12052.0,8466015959599685707
MoCallRecord,20180713112559,,34270.0,8188048717378466339
MtCallRecord,20180713112559,,,8188048717378466339
MtSMSRecord,20180713112603,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112554,,10382.0,7032577844447141964
MtCallRecord,20180713112554,,,7032577844447141964
MoCallRecord,20180713112551,,14297.0,5397602319098430314
MtCallRecord,20180713112551,,,5397602319098430314
MtSMSRecord,20180713112603,,,7566424924061690786
MoCallRecord,20180713112529,,20682.0,7051529775992554768
MtCallRecord,20180713112529,,,7051529775992554768
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112532,,12091.0,6906655020693911904
MtCallRecord,20180713112532,,,6906655020693911904
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,7566424924061690786
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112517,,20524.0,7938593943706714431
MtCallRecord,20180713112517,,,7938593943706714431
MoCallRecord,20180713112321,,22091.0,8448089407787305498
MtCallRecord,20180713112321,,,8448089407787305498
MtSMSRecord,20180713112603,,,6647700916843399878
MoCallRecord,20180713112517,,22268.0,3565510029760519164
MtCallRecord,20180713112517,,,3565510029760519164
MtSMSRecord,20180713112603,,,3384066821637594455
MoCallRecord,20180713112551,,12793.0,1346535106965942280
MtCallRecord,20180713112551,,,1346535106965942280
MoCallRecord,20180713112557,,20442.0,1975286992083682200
MtCallRecord,20180713112557,,,1975286992083682200
MtSMSRecord,20180713112604,,,3384066821637594455
MtSMSRecord,20180713112604,,,3384066821637594455
MoCallRecord,20180713112543,,20232.0,8826259162363891576
MtCallRecord,20180713112543,,,8826259162363891576
MoCallRecord,20180713112534,,14233.0,5024923977275055712
MtCallRecord,20180713112534,,,5024923977275055712
MtSMSRecord,20180713112603,,,7566424924061690786
IncGatewayRecord,20180713112457,,20521.0,1966744593385301031
MtCallRecord,20180713112457,,,1966744593385301031
MtCallRecord,20180713112550,,,5394381228549730561
